8.04731,-4.88662,0
11.2375,3.01746,0
5.1105,0.269883,0
6.34456,-3.71832,0
9.09493,2.02836,0
8.01686,-2.26484,0
9.95815,6.67136,0
10.073,-5.96494,0
8.5259,-1.55089,0
8.63238,-1.97034,0
8.28997,0.706405,0
7.90183,-0.888256,0
7.32836,-0.803496,0
9.67965,-0.771563,0
8.79674,0.706112,0
8.32337,4.08369,0
9.81871,-0.849995,0
8.43905,1.03966,0
9.78637,0.184881,0
7.64558,-4.89767,0
8.22954,-2.59089,0
8.80164,0.217603,0
9.27446,-2.85584,0
7.9565,-3.16253,0
6.88808,1.16889,0
10.5153,-0.505739,0
9.5922,-2.58048,0
9.73777,4.52998,0
5.24049,1.31851,0
6.41871,-0.0358384,0
9.62282,1.48769,0
7.20748,-3.67993,0
9.69823,5.00318,0
5.90921,-2.06383,0
7.39026,1.22465,0
7.80643,3.19455,0
10.0482,0.524928,0
6.54353,0.00109869,0
8.50854,0.628461,0
6.85735,0.0607903,0
11.291,-1.66965,0
6.44954,2.40385,0
9.73731,-1.24028,0
7.60214,-2.23978,0
8.62179,-4.88772,0
8.36149,-4.5666,0
8.63232,0.0943378,0
6.62618,-1.77265,0
6.73818,-1.92942,0
8.52811,4.67163,0
7.58597,-2.13659,0
9.29786,-2.65974,0
8.65448,-0.523772,0
8.07383,1.14914,0
9.8528,1.39256,0
5.85915,-2.42513,0
8.84712,0.805192,0
9.17578,-1.14853,0
10.0153,4.45207,0
8.31818,2.45892,0
8.59704,-2.09505,0
8.53503,-5.78822,0
8.82572,4.51317,0
8.31072,-4.95844,0
8.18246,-0.25343,0
9.65633,1.97728,0
6.59622,1.5515,0
8.55303,-4.08889,0
11.4203,1.35158,0
12.4761,-2.50378,0
9.9861,-1.87648,0
7.16331,1.61416,0
9.41639,-0.680316,0
10.9345,-2.79792,0
7.41624,-1.52791,0
11.309,-1.57946,0
10.4984,-2.0423,0
8.887,5.581,0
9.25853,-7.16143,0
7.64768,-1.50731,0
7.73847,-4.43388,0
7.92336,-6.30531,0
8.55215,1.02912,0
8.89508,-5.53115,0
6.26833,-0.508081,0
7.1283,-1.64686,0
9.26061,-3.68983,0
9.33413,-8.03635,0
5.77097,4.97839,0
11.2793,-1.18948,0
7.91054,-1.08779,0
8.72444,-0.488243,0
8.7434,-1.68898,0
10.6764,-3.88999,0
11.2826,-3.23266,0
6.76457,-0.640593,0
6.80258,2.78013,0
11.1112,0.323643,0
7.19656,0.793745,0
9.55187,-0.809177,0
6.43023,-0.542349,0
8.54799,3.08994,0
9.49333,3.42415,0
7.64632,0.452481,0
9.21912,0.197608,0
8.6011,-2.11131,0
8.33068,2.61018,0
8.6887,-2.72417,0
8.9796,0.0784963,0
6.83457,-3.28685,0
9.81484,-2.21538,0
5.66555,1.82633,0
10.6438,-1.77971,0
8.97819,-0.819641,0
10.6987,-1.83115,0
7.12177,-1.7971,0
7.54859,-0.52922,0
9.98119,-0.639174,0
8.56338,-2.94232,0
7.73968,-1.98427,0
6.49574,3.20202,0
6.99226,-0.262286,0
10.3891,2.13512,0
7.5888,0.596278,0
9.7318,-1.58389,0
5.1857,3.76842,0
10.6456,-1.70854,0
8.27424,0.421787,0
9.26922,-2.5318,0
12.4228,-1.64796,0
7.23462,-0.771073,0
8.82901,-2.98353,0
7.79333,1.11653,0
4.5274,-5.34881,0
6.38176,1.54411,0
7.55688,-0.228735,0
10.0207,-3.94477,0
9.33372,-4.59182,0
9.88245,-4.36024,0
6.87607,3.66085,0
8.27782,1.04327,0
11.5177,0.653945,0
7.2691,7.82304,0
8.17629,-0.00301371,0
9.08218,4.29567,0
7.568,-1.5908,0
8.42283,1.14002,0
5.03,-0.346601,0
8.65172,-2.78889,0
8.76908,-4.75674,0
8.32882,0.215972,0
6.929,-6.73162,0
7.94977,-1.9159,0
6.82108,0.631436,0
6.97004,0.426509,0
9.68758,2.02541,0
8.92996,-4.7527,0
8.75096,1.85807,0
8.42768,1.13994,0
10.6104,-1.65432,0
7.8959,-4.43924,0
8.10868,-0.261993,0
9.52777,-1.32396,0
7.6344,-1.01118,0
6.2777,0.721938,0
9.94383,-6.27115,0
7.85773,-6.72987,0
8.32597,0.399484,0
8.83376,2.33812,0
